evidence_level,mode,network_size,repetition,flow_count,install_sum_us,install_mean_us,ping_success,python_cpu_s,python_max_rss_kib,trial_index,block_position
measured_emulation,daim_persistent,8,19,8,40527.271,5065.908875,1,34.702608,24576,292,4
measured_emulation,direct_ovs_cli,16,19,16,147823.861,9238.9913125,1,34.74268,24576,293,1
measured_emulation,daim_persistent,16,19,16,94590.511,5911.9069375,1,34.790137,24576,294,2
measured_emulation,daim_process_per_rule,16,19,16,199897.62,12493.60125,1,34.834236000000004,24576,295,3
measured_emulation,direct_osken,16,19,16,51932.426999999996,3245.7766874999998,1,34.873298,24576,296,4
measured_emulation,direct_ovs_cli,32,19,32,307140.524,9598.141375,1,34.947234,24576,297,1
measured_emulation,direct_osken,32,19,32,216100.895,6753.15296875,1,35.025355,24576,298,2
measured_emulation,daim_process_per_rule,32,19,32,410977.23,12843.0384375,1,35.108346,24576,299,3
measured_emulation,daim_persistent,32,19,32,266711.516,8334.734875,1,35.200088,24576,300,4
measured_emulation,daim_persistent,64,19,64,790992.566,12359.25884375,1,35.362424000000004,24576,301,1
measured_emulation,daim_process_per_rule,64,19,64,1003634.317,15681.786203125,1,35.529301000000004,24576,302,2
measured_emulation,direct_ovs_cli,64,19,64,770680.69,12041.88578125,1,35.689593,24576,303,3
measured_emulation,direct_osken,64,19,64,701647.605,10963.243828125,1,35.839909000000006,24576,304,4
measured_emulation,daim_process_per_rule,8,20,8,103897.481,12987.185125,1,35.889202999999995,24576,305,1
measured_emulation,direct_osken,8,20,8,11354.038,1419.25475,1,35.915001000000004,24576,306,2
measured_emulation,direct_ovs_cli,8,20,8,74842.15,9355.26875,1,35.936998,24576,307,3
measured_emulation,daim_persistent,8,20,8,47109.716,5888.7145,1,35.960574,24576,308,4
measured_emulation,daim_process_per_rule,16,20,16,200758.84,12547.4275,1,35.999637,24576,309,1
measured_emulation,direct_osken,16,20,16,41147.198000000004,2571.6998750000002,1,36.038650000000004,24576,310,2
measured_emulation,direct_ovs_cli,16,20,16,147135.9,9195.99375,1,36.081036,24576,311,3
measured_emulation,daim_persistent,16,20,16,97027.921,6064.2450625,1,36.129934,24576,312,4
measured_emulation,daim_process_per_rule,32,20,32,410474.793,12827.33728125,1,36.207863,24576,313,1
measured_emulation,direct_ovs_cli,32,20,32,312123.68200000003,9753.865062500001,1,36.290278,24576,314,2
measured_emulation,daim_persistent,32,20,32,261827.567,8182.11146875,1,36.377864,24576,315,3
measured_emulation,direct_osken,32,20,32,170749.192,5335.91225,1,36.453826,24576,316,4
measured_emulation,daim_process_per_rule,64,20,64,1005866.053,15716.657078125,1,36.60332,24576,317,1
measured_emulation,direct_osken,64,20,64,792764.193,12386.940515625,1,36.752228,24576,318,2
measured_emulation,daim_persistent,64,20,64,803906.8640000001,12561.044750000001,1,36.934179,24576,319,3
measured_emulation,direct_ovs_cli,64,20,64,768662.29,12010.34828125,1,37.093187,24576,320,4
measured_emulation,direct_ovs_cli,8,21,8,83444.318,10430.53975,1,37.142522,24576,321,1
measured_emulation,daim_persistent,8,21,8,38607.306,4825.91325,1,37.166944,24576,322,2
measured_emulation,daim_process_per_rule,8,21,8,106994.988,13374.3735,1,37.191176,24576,323,3
measured_emulation,direct_osken,8,21,8,10819.365,1352.420625,1,37.213703,24576,324,4
measured_emulation,daim_process_per_rule,16,21,16,195189.825,12199.3640625,1,37.256772,24576,325,1
measured_emulation,direct_osken,16,21,16,42820.779,2676.2986875,1,37.297388,24576,326,2
measured_emulation,direct_ovs_cli,16,21,16,152214.041,9513.3775625,1,37.339845000000004,24576,327,3
measured_emulation,daim_persistent,16,21,16,109386.546,6836.659125,1,37.386742999999996,24576,328,4
measured_emulation,daim_process_per_rule,32,21,32,408078.804,12752.462625,1,37.463742,24576,329,1
measured_emulation,direct_ovs_cli,32,21,32,307405.89,9606.4340625,1,37.543266,24576,330,2
measured_emulation,direct_osken,32,21,32,183300.542,5728.1419375,1,37.619938000000005,24576,331,3
measured_emulation,daim_persistent,32,21,32,291581.354,9111.9173125,1,37.708271,24576,332,4
measured_emulation,direct_osken,64,21,64,701367.09,10958.86078125,1,37.836943,24832,333,1
measured_emulation,daim_persistent,64,21,64,801082.105,12516.907890625,1,38.026169,24832,334,2
measured_emulation,daim_process_per_rule,64,21,64,1020129.249,15939.519515625,1,38.192529,24960,335,3
measured_emulation,direct_ovs_cli,64,21,64,771067.651,12047.932046875,1,38.35644,24960,336,4
measured_emulation,daim_process_per_rule,8,22,8,105022.733,13127.841625,1,38.404904,24960,337,1
measured_emulation,direct_osken,8,22,8,10427.755,1303.469375,1,38.426154,24960,338,2
measured_emulation,daim_persistent,8,22,8,39523.061,4940.382625,1,38.450489,24960,339,3
measured_emulation,direct_ovs_cli,8,22,8,75560.978,9445.12225,1,38.47389,24960,340,4
measured_emulation,daim_process_per_rule,16,22,16,205864.153,12866.5095625,1,38.512389999999996,24960,341,1
measured_emulation,direct_ovs_cli,16,22,16,146306.391,9144.1494375,1,38.552939,24960,342,2
measured_emulation,daim_persistent,16,22,16,97147.761,6071.7350625,1,38.59908,24960,343,3
measured_emulation,direct_osken,16,22,16,44179.199,2761.1999375,1,38.64054,24960,344,4
measured_emulation,daim_process_per_rule,32,22,32,417918.532,13059.954125,1,38.714334,24960,345,1
measured_emulation,direct_ovs_cli,32,22,32,303268.239,9477.13246875,1,38.793893,24960,346,2
measured_emulation,direct_osken,32,22,32,166840.505,5213.76578125,1,38.872795,24960,347,3
measured_emulation,daim_persistent,32,22,32,258998.824,8093.71325,1,38.963274,24960,348,4
measured_emulation,direct_osken,64,22,64,724978.978,11327.79653125,1,39.101071000000005,24960,349,1
measured_emulation,daim_process_per_rule,64,22,64,955094.537,14923.352140625,1,39.265931,24960,350,2
measured_emulation,daim_persistent,64,22,64,774358.354,12099.34928125,1,39.442126,24960,351,3
measured_emulation,direct_ovs_cli,64,22,64,780710.2119999999,12198.597062499999,1,39.612684,24960,352,4
measured_emulation,daim_process_per_rule,8,23,8,107611.211,13451.401375,1,39.664108999999996,24960,353,1
measured_emulation,direct_ovs_cli,8,23,8,77635.057,9704.382125,1,39.687294,24960,354,2
measured_emulation,direct_osken,8,23,8,8427.205,1053.400625,1,39.713530000000006,24960,355,3
measured_emulation,daim_persistent,8,23,8,40971.554000000004,5121.4442500000005,1,39.739483,24960,356,4
measured_emulation,direct_osken,16,23,16,55842.471,3490.1544375,1,39.774031,24960,357,1
measured_emulation,daim_process_per_rule,16,23,16,202676.123,12667.2576875,1,39.82005,24960,358,2
measured_emulation,daim_persistent,16,23,16,96060.54,6003.78375,1,39.866995,24960,359,3
measured_emulation,direct_ovs_cli,16,23,16,149270.75,9329.421875,1,39.908735,24960,360,4
measured_emulation,daim_process_per_rule,32,23,32,419387.774,13105.8679375,1,39.991651000000005,24960,361,1
measured_emulation,daim_persistent,32,23,32,270420.594,8450.6435625,1,40.136953,24960,362,2
measured_emulation,direct_osken,32,23,32,179529.931,5610.31034375,1,40.214963999999995,24960,363,3
measured_emulation,direct_ovs_cli,32,23,32,310719.814,9709.9941875,1,40.296918,24960,364,4
measured_emulation,direct_osken,64,23,64,809388.0,12646.6875,1,40.429742,24960,365,1
measured_emulation,direct_ovs_cli,64,23,64,755461.504,11804.086,1,40.592712000000006,24960,366,2
measured_emulation,daim_persistent,64,23,64,832390.475,13006.101171875,1,40.765466,25088,367,3
measured_emulation,daim_process_per_rule,64,23,64,963664.355,15057.255546875,1,40.932175,25216,368,4
