evidence_level,switch_count,method,repetition,measured,switch,direction,latency_us,returncode,stderr
measured_emulation_calibration,16,daim_adapter,0,0,s15,reverse,15014.969,0,
measured_emulation_calibration,16,daim_adapter,0,0,s16,forward,11946.027,0,
measured_emulation_calibration,16,daim_adapter,0,0,s16,reverse,12339.204,0,
measured_emulation_calibration,16,daim_adapter,1,1,s1,forward,12040.233,0,
measured_emulation_calibration,16,daim_adapter,1,1,s1,reverse,11994.446,0,
measured_emulation_calibration,16,daim_adapter,1,1,s2,forward,12149.458,0,
measured_emulation_calibration,16,daim_adapter,1,1,s2,reverse,12004.688,0,
measured_emulation_calibration,16,daim_adapter,1,1,s3,forward,12957.632,0,
measured_emulation_calibration,16,daim_adapter,1,1,s3,reverse,12500.613,0,
measured_emulation_calibration,16,daim_adapter,1,1,s4,forward,12575.224,0,
measured_emulation_calibration,16,daim_adapter,1,1,s4,reverse,12574.86,0,
measured_emulation_calibration,16,daim_adapter,1,1,s5,forward,12677.81,0,
measured_emulation_calibration,16,daim_adapter,1,1,s5,reverse,13654.881,0,
measured_emulation_calibration,16,daim_adapter,1,1,s6,forward,12439.361,0,
measured_emulation_calibration,16,daim_adapter,1,1,s6,reverse,12215.932,0,
measured_emulation_calibration,16,daim_adapter,1,1,s7,forward,11998.94,0,
measured_emulation_calibration,16,daim_adapter,1,1,s7,reverse,12391.347,0,
measured_emulation_calibration,16,daim_adapter,1,1,s8,forward,12557.249,0,
measured_emulation_calibration,16,daim_adapter,1,1,s8,reverse,12979.696,0,
measured_emulation_calibration,16,daim_adapter,1,1,s9,forward,12241.962,0,
measured_emulation_calibration,16,daim_adapter,1,1,s9,reverse,12727.443,0,
measured_emulation_calibration,16,daim_adapter,1,1,s10,forward,12592.227,0,
measured_emulation_calibration,16,daim_adapter,1,1,s10,reverse,12671.494,0,
measured_emulation_calibration,16,daim_adapter,1,1,s11,forward,12351.39,0,
measured_emulation_calibration,16,daim_adapter,1,1,s11,reverse,12354.912,0,
measured_emulation_calibration,16,daim_adapter,1,1,s12,forward,12309.166,0,
measured_emulation_calibration,16,daim_adapter,1,1,s12,reverse,12365.762,0,
measured_emulation_calibration,16,daim_adapter,1,1,s13,forward,13356.638,0,
measured_emulation_calibration,16,daim_adapter,1,1,s13,reverse,12531.218,0,
measured_emulation_calibration,16,daim_adapter,1,1,s14,forward,12409.646,0,
measured_emulation_calibration,16,daim_adapter,1,1,s14,reverse,12297.344,0,
measured_emulation_calibration,16,daim_adapter,1,1,s15,forward,12395.274,0,
measured_emulation_calibration,16,daim_adapter,1,1,s15,reverse,11573.942,0,
measured_emulation_calibration,16,daim_adapter,1,1,s16,forward,12989.209,0,
measured_emulation_calibration,16,daim_adapter,1,1,s16,reverse,12060.961,0,
measured_emulation_calibration,16,direct_ovs_ofctl,1,1,s1,forward,11219.347,0,
measured_emulation_calibration,16,direct_ovs_ofctl,1,1,s1,reverse,9600.771,0,
measured_emulation_calibration,16,direct_ovs_ofctl,1,1,s2,forward,9367.909,0,
measured_emulation_calibration,16,direct_ovs_ofctl,1,1,s2,reverse,9419.081,0,
measured_emulation_calibration,16,direct_ovs_ofctl,1,1,s3,forward,9568.91,0,
measured_emulation_calibration,16,direct_ovs_ofctl,1,1,s3,reverse,9324.915,0,
measured_emulation_calibration,16,direct_ovs_ofctl,1,1,s4,forward,8673.048,0,
measured_emulation_calibration,16,direct_ovs_ofctl,1,1,s4,reverse,10354.9,0,
measured_emulation_calibration,16,direct_ovs_ofctl,1,1,s5,forward,9216.987,0,
measured_emulation_calibration,16,direct_ovs_ofctl,1,1,s5,reverse,9602.277,0,
measured_emulation_calibration,16,direct_ovs_ofctl,1,1,s6,forward,10225.323,0,
measured_emulation_calibration,16,direct_ovs_ofctl,1,1,s6,reverse,9301.281,0,
measured_emulation_calibration,16,direct_ovs_ofctl,1,1,s7,forward,10350.915,0,
measured_emulation_calibration,16,direct_ovs_ofctl,1,1,s7,reverse,9195.518,0,
measured_emulation_calibration,16,direct_ovs_ofctl,1,1,s8,forward,11379.298,0,
measured_emulation_calibration,16,direct_ovs_ofctl,1,1,s8,reverse,9652.703,0,
measured_emulation_calibration,16,direct_ovs_ofctl,1,1,s9,forward,9605.855,0,
measured_emulation_calibration,16,direct_ovs_ofctl,1,1,s9,reverse,9162.85,0,
measured_emulation_calibration,16,direct_ovs_ofctl,1,1,s10,forward,9399.041,0,
measured_emulation_calibration,16,direct_ovs_ofctl,1,1,s10,reverse,9287.02,0,
measured_emulation_calibration,16,direct_ovs_ofctl,1,1,s11,forward,9493.469,0,
measured_emulation_calibration,16,direct_ovs_ofctl,1,1,s11,reverse,9501.188,0,
measured_emulation_calibration,16,direct_ovs_ofctl,1,1,s12,forward,9492.005,0,
measured_emulation_calibration,16,direct_ovs_ofctl,1,1,s12,reverse,9540.561,0,
measured_emulation_calibration,16,direct_ovs_ofctl,1,1,s13,forward,9189.992,0,
measured_emulation_calibration,16,direct_ovs_ofctl,1,1,s13,reverse,9842.047,0,
measured_emulation_calibration,16,direct_ovs_ofctl,1,1,s14,forward,9681.998,0,
measured_emulation_calibration,16,direct_ovs_ofctl,1,1,s14,reverse,9441.297,0,
measured_emulation_calibration,16,direct_ovs_ofctl,1,1,s15,forward,9096.987,0,
measured_emulation_calibration,16,direct_ovs_ofctl,1,1,s15,reverse,9716.78,0,
measured_emulation_calibration,16,direct_ovs_ofctl,1,1,s16,forward,9024.499,0,
measured_emulation_calibration,16,direct_ovs_ofctl,1,1,s16,reverse,9548.605,0,
measured_emulation_calibration,16,direct_ovs_ofctl,2,1,s1,forward,9430.612,0,
measured_emulation_calibration,16,direct_ovs_ofctl,2,1,s1,reverse,9339.068,0,
measured_emulation_calibration,16,direct_ovs_ofctl,2,1,s2,forward,9920.668,0,
measured_emulation_calibration,16,direct_ovs_ofctl,2,1,s2,reverse,10213.012,0,
measured_emulation_calibration,16,direct_ovs_ofctl,2,1,s3,forward,9688.906,0,
measured_emulation_calibration,16,direct_ovs_ofctl,2,1,s3,reverse,9007.556,0,
measured_emulation_calibration,16,direct_ovs_ofctl,2,1,s4,forward,9635.435,0,
measured_emulation_calibration,16,direct_ovs_ofctl,2,1,s4,reverse,10315.81,0,
measured_emulation_calibration,16,direct_ovs_ofctl,2,1,s5,forward,9787.397,0,
measured_emulation_calibration,16,direct_ovs_ofctl,2,1,s5,reverse,9200.922,0,
